MatchID,Year,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Winner
39,1958,1958-06-09,Sweden,France,3,1,Sweden
40,1958,1958-06-09,Brazil,Austria,3,0,Brazil
41,1958,1958-06-10,France,Austria,4,0,France
42,1958,1958-06-10,Brazil,Sweden,5,2,Brazil
43,1962,1962-06-17,Brazil,Czechoslovakia,3,1,Brazil
44,1962,1962-06-17,Chile,Yugoslavia,1,0,Chile
45,1962,1962-06-18,Brazil,Chile,4,2,Brazil
46,1962,1962-06-18,Czechoslovakia,Yugoslavia,3,1,Czechoslovakia
47,1962,1962-06-19,Brazil,Chile,4,2,Brazil
48,1962,1962-06-19,Czechoslovakia,Yugoslavia,3,1,Czechoslovakia
49,1966,1966-07-20,England,Germany,4,2,England
50,1966,1966-07-20,West Germany,Uruguay,2,0,West Germany
51,1966,1966-07-21,Portugal,England,2,4,England
52,1966,1966-07-21,West Germany,Portugal,2,1,West Germany
53,1966,1966-07-22,England,West Germany,4,2,England
54,1966,1966-07-22,Portugal,Uruguay,2,1,Portugal
55,1970,1970-06-17,Brazil,Italy,4,1,Brazil
56,1970,1970-06-17,Italy,West Germany,4,1,Italy
57,1970,1970-06-18,Brazil,Uruguay,3,1,Brazil
58,1970,1970-06-18,Italy,Brazil,4,1,Italy
59,1970,1970-06-19,Brazil,Italy,4,1,Brazil
60,1970,1970-06-19,Italy,West Germany,4,1,Italy
61,1974,1974-06-13,Brazil,Netherlands,2,1,Brazil
62,1974,1974-06-13,Netherlands,Brazil,2,4,Netherlands
63,1974,1974-06-14,Brazil,Netherlands,2,1,Brazil
64,1974,1974-06-14,Netherlands,Brazil,2,4,Netherlands
65,1974,1974-06-15,Brazil,Netherlands,2,1,Brazil
66,1974,1974-06-15,Netherlands,Brazil,2,4,Netherlands
67,1978,1978-06-25,Argentina,Nederlands,3,1,Argentina
68,1978,1978-06-25,Argentina,Italy,3,1,Argentina
69,1978,1978-06-26,Argentina,Italy,3,1,Argentina
70,1978,1978-06-26,Italy,Argentina,1,3,Argentina
71,1978,1978-06-27,Argentina,Italy,3,1,Argentina
72,1978,1978-06-27,Italy,Argentina,1,3,Argentina
73,1982,1982-06-11,Italy,Germany,3,1,Italy
74,1982,1982-06-11,Germany,Italy,1,3,Germany
75,1982,1982-06-12,Italy,Germany,3,1,Italy
76,1982,1982-06-12,Germany,Italy,1,3,Germany
77,1986,1986-06-29,Argentina,Germany,3,2,Argentina
78,1986,1986-06-29,Germany,Argentina,2,3,Germany
79,1986,1986-06-30,Argentina,Germany,3,2,Argentina
80,1986,1986-06-30,Germany,Argentina,2,3,Germany
81,1990,1990-07-08,Germany,Argentina,1,0,Germany
82,1990,1990-07-08,Argentina,Germany,0,1,Germany
83,1990,1990-07-09,Germany,Argentina,1,0,Germany
84,1990,1990-07-09,Argentina,Germany,0,1,Germany
85,1994,1994-07-17,Brazil,Italy,0,0,Brazil
86,1994,1994-07-17,Italy,Brazil,0,0,Italy
87,1994,1994-07-18,Brazil,Italy,0,0,Brazil
88,1994,1994-07-18,Italy,Brazil,0,0,Italy
89,1998,1998-07-12,France,Brazil,3,0,France
90,1998,1998-07-12,Brazil,France,0,3,Brazil
91,1998,1998-07-13,France,Brazil,3,0,France
92,1998,1998-07-13,Brazil,France,0,3,Brazil
93,2002,2002-06-30,Brazil,Germany,2,0,Brazil
94,2002,2002-06-30,Germany,Brazil,0,2,Germany
95,2002,2002-07-01,Brazil,Germany,2,0,Brazil
96,2002,2002-07-01,Germany,Brazil,0,2,Germany
97,2006,2006-07-09,Italy,France,5,3,Italy
98,2006,2006-07-09,France,Italy,3,5,France
99,2006,2006-07-10,Italy,France,5,3,Italy
100,2006,2006-07-10,France,Italy,3,5,France
101,2010,2010-07-11,Spain,Netherlands,1,0,Spain
102,2010,2010-07-11,Netherlands,Spain,0,1,Netherlands
103,2010,2010-07-12,Spain,Netherlands,1,0,Spain
104,2010,2010-07-12,Netherlands,Spain,0,1,Netherlands
105,2014,2014-07-13,Germany,Argentina,1,0,Germany
106,2014,2014-07-13,Argentina,Germany,0,1,Argentina
107,2014,2014-07-14,Germany,Argentina,1,0,Germany
108,2014,2014-07-14,Argentina,Germany,0,1,Argentina
109,2018,2018-07-15,France,Croatia,4,2,France
110,2018,2018-07-15,Croatia,France,2,4,Croatia
111,2018,2018-07-16,France,Croatia,4,2,France
112,2018,2018-07-16,Croatia,France,2,4,Croatia
